     Value-Weight Local  Returns      All 4 Data Items Not Reqd
                -- BE/ME --   --- E/P ---   --- CE/P --   ------  Yld  -----
Date      Mkt   High    Low   High    Low   High    Low   High    Low   Zero
198211  -3.49  -4.05  -3.38  -4.32  -3.06  -1.70  -3.65  -4.99  -4.86 -11.66
198212   1.36   2.33   0.20   4.20  -0.61   2.98   1.72   6.12  -0.32  -3.56
198301  11.67   5.87  14.18   5.81  10.58   7.79  17.36   5.02  17.16  15.00
198302  -6.01  -4.26  -8.27  -4.37  -7.91  -4.88  -6.70  -2.42  -7.11 -13.99
198303   4.07   5.40   4.34   1.64   5.77   2.57   6.12   1.19   6.58   4.39
198304  15.53  19.98  11.63  16.48  19.96  22.68  12.75  15.98  12.00  32.09
198305   5.12   1.31   5.26   1.45   6.33   1.22   8.62   1.59   7.89   4.28
198306  -2.23  -1.20  -3.39  -2.92  -0.94  -0.82  -2.38  -2.13  -2.73   3.49
198307  11.79  16.72   9.74  12.36  12.70  18.36   9.93  10.12  11.79   4.49
198308   3.96   8.14   1.81   6.49   5.74   7.64   0.97   5.82   1.29   4.57
198309   1.72   8.29  -3.11   5.53   2.60   8.21  -4.04   5.00  -4.31   6.72
198310  -3.59  -1.83  -4.86   0.52  -4.73  -3.14  -5.85   2.25  -5.44 -10.17
198311   9.21  12.50   8.37  10.44   9.70  12.12   6.68  11.35   7.37  -2.95
198312   3.71   3.30   5.93   4.45   3.79   4.16   2.32   4.34   2.96  -3.97
198401  -2.11  -5.24  -0.35   1.95  -5.23   0.74  -4.66   0.83  -4.06  -2.32
198402  -4.69  -4.43  -4.13  -6.89  -4.50  -7.30  -3.28  -7.02  -3.50  -7.15
198403   3.28   5.73   0.41  -0.72   2.97   0.10   3.94   0.81   6.53   8.54
198404   1.12   3.50   1.19   3.26   1.23   1.09   1.35   3.64  -1.21   9.15
198405 -14.44 -16.00 -17.86 -11.07 -20.34 -14.59 -18.89  -9.66 -18.85 -16.99
198406   1.73  -2.17   3.09   1.77   2.94   1.85   2.65   2.74   0.77   4.94
