Effective date 	S&P/ASX 200 Energy (Sector)   (31-MAR-2000)   (TR)	S&P/ASX 200 Energy (Sector)
9/04/2009	84976.74	13482.34
14/04/2009	85784.86	13610.55
15/04/2009	85467.46	13560.19
16/04/2009	86058.34	13653.94
17/04/2009	85138.55	13508.01
20/04/2009	86121.57	13663.97
21/04/2009	83706.03	13280.73
22/04/2009	83759.55	13289.22
23/04/2009	85341.91	13540.27
24/04/2009	84999.13	13485.89
27/04/2009	85840.41	13619.36
28/04/2009	85020.84	13489.33
29/04/2009	85915.93	13631.35
30/04/2009	86968	13798.27
1/05/2009	87323.97	13854.75
4/05/2009	91692.89	14547.92
5/05/2009	92119.13	14615.54
6/05/2009	91447.94	14509.05
7/05/2009	94554.71	15001.97
8/05/2009	95317.36	15122.97
11/05/2009	95742.59	15190.44
12/05/2009	95074.12	15084.38
13/05/2009	93176.96	14783.38
14/05/2009	89303.54	14168.82
15/05/2009	90932.14	14427.21
18/05/2009	89907.34	14264.62
19/05/2009	92463.55	14670.19
20/05/2009	92510.8	14677.68
21/05/2009	92314.2	14646.49
22/05/2009	90030.99	14284.24
25/05/2009	90962.29	14432
26/05/2009	91297.69	14485.21
27/05/2009	92161.58	14622.28
28/05/2009	92009.08	14598.08
29/05/2009	92491.68	14674.65
1/06/2009	94348.22	14969.21
2/06/2009	95892.14	15214.16
3/06/2009	96511.55	15312.44
4/06/2009	93345.96	14810.19
5/06/2009	94300.93	14961.7
9/06/2009	92331.44	14649.23
10/06/2009	94782.99	15038.19
11/06/2009	96201.56	15263.26
12/06/2009	95918.81	15218.39
15/06/2009	94232.02	14950.77
16/06/2009	90913.78	14424.3
17/06/2009	90023.13	14282.99
18/06/2009	90333.25	14332.19
19/06/2009	90954.89	14430.82
22/06/2009	91439.72	14507.75
23/06/2009	88073.66	13973.69
24/06/2009	88715.13	14075.47
25/06/2009	90304.95	14327.71
26/06/2009	92087.55	14610.53
29/06/2009	90915.01	14424.5
30/06/2009	92832.22	14728.68
1/07/2009	91319.25	14488.63
2/07/2009	89875.17	14259.52
3/07/2009	89084.83	14134.12
6/07/2009	87137.06	13825.09
7/07/2009	86229.98	13681.17
8/07/2009	84810.65	13455.98
9/07/2009	85645.72	13588.48
10/07/2009	85822.46	13616.52
13/07/2009	84758.01	13447.63
14/07/2009	87490.21	13881.12
15/07/2009	89292.17	14167.02
16/07/2009	90868.99	14417.19
17/07/2009	91671.77	14544.56
20/07/2009	93396.03	14818.13
21/07/2009	94008.84	14915.36
22/07/2009	94689.07	15023.29
23/07/2009	95341.6	15126.82
24/07/2009	95524.39	15155.82
27/07/2009	96248.99	15270.78
28/07/2009	96578.24	15323.02
29/07/2009	95480.65	15148.88
30/07/2009	95049.51	15080.47
31/07/2009	96676.62	15338.63
3/08/2009	96497.49	15310.21
4/08/2009	96501.8	15310.89
5/08/2009	94844.23	15047.9
6/08/2009	95005.91	15073.56
7/08/2009	94434.6	14982.91
10/08/2009	94118.48	14931.06
11/08/2009	94787.77	15037.24
12/08/2009	94270.52	14955.18
13/08/2009	96867.61	15367.18
14/08/2009	97151.74	15412.26
17/08/2009	96550.25	15316.84
18/08/2009	94967.75	15065.79
19/08/2009	96400.65	15293.1
20/08/2009	98228.16	15583.02
21/08/2009	97592.53	15482.18
24/08/2009	101490.03	16048.88
25/08/2009	101480.83	16003.46
26/08/2009	102449.89	16119.58
27/08/2009	102321.2	16099.33
28/08/2009	104687.09	16449.56
31/08/2009	103617.36	16281.47
1/09/2009	103465.67	16257.64
2/09/2009	100717.89	15825.88
3/09/2009	100137.53	15734.68
4/09/2009	100674.14	15819
7/09/2009	100674.18	15819.01
8/09/2009	101959.57	16020.98
9/09/2009	101320.08	15920.5
10/09/2009	103074.49	16196.17
11/09/2009	103054.49	16193.03
14/09/2009	101678.64	15972.49
15/09/2009	101818.04	15994.39
16/09/2009	104590.81	16429.96
17/09/2009	105355.9	16550.14
18/09/2009	105159.14	16516.24
21/09/2009	105295.57	16537.67
22/09/2009	103819.84	16305.89
23/09/2009	106322.07	16698.89
24/09/2009	104743.38	16450.94
25/09/2009	104882.74	16472.83
28/09/2009	103471.2	16251.14
29/09/2009	104518.34	16415.6
30/09/2009	105216.75	16525.29
1/10/2009	105146.32	16514.23
2/10/2009	102893.98	16160.48
5/10/2009	102742.66	16136.71
6/10/2009	103306.63	16225.29
7/10/2009	104821.81	16463.26
8/10/2009	105085.96	16504.75
9/10/2009	104582.99	16417.25
12/10/2009	105005.46	16483.56
13/10/2009	105570.46	16572.26
14/10/2009	107241.3	16834.54
15/10/2009	107707.88	16907.79
16/10/2009	107435.53	16865.03
19/10/2009	106496.36	16717.6
20/10/2009	106768.8	16760.37
21/10/2009	107301	16843.91
22/10/2009	106679.61	16746.37
23/10/2009	105680.84	16589.58
26/10/2009	104708.61	16434.94
27/10/2009	101984.73	16007.4
28/10/2009	100997.36	15852.42
29/10/2009	98099.31	15397.55
30/10/2009	99670.99	15644.24
2/11/2009	98805.32	15508.36
3/11/2009	98352.34	15437.26
4/11/2009	98276.14	15425.3
5/11/2009	98352.82	15437.34
6/11/2009	99885.6	15677.92
9/11/2009	101227.99	15888.62
10/11/2009	102724.07	16123.45
11/11/2009	102877.1	16147.46
12/11/2009	101723.48	15966.39
13/11/2009	101037.32	15858.69
16/11/2009	103114.72	16184.76
17/11/2009	102562.14	16098.03
18/11/2009	102089.36	16023.82
19/11/2009	102080.07	16013.96
20/11/2009	100920.34	15832.03
23/11/2009	100951.62	15836.93
24/11/2009	100544.67	15773.09
25/11/2009	100863.6	15823.13
26/11/2009	100775.41	15809.29
27/11/2009	97763.48	15336.79
30/11/2009	99698.59	15640.36
1/12/2009	100339.89	15740.97
2/12/2009	101570	15933.94
3/12/2009	101982.59	15998.67
4/12/2009	100948.62	15836.46
7/12/2009	99989.71	15686.03
8/12/2009	99738.98	15646.7
9/12/2009	98493.56	15451.32
10/12/2009	97122.59	15236.25
11/12/2009	97386.7	15277.68
14/12/2009	97009.65	15218.53
15/12/2009	97959.16	15367.49
16/12/2009	98594.51	15467.16
17/12/2009	98710.4	15485.34
18/12/2009	99718.44	15643.48
21/12/2009	99261.01	15571.72
22/12/2009	100172.69	15714.74
23/12/2009	100518.72	15769.02
24/12/2009	101107.2	15861.34
29/12/2009	102179.38	16029.54
30/12/2009	101959.97	15995.12
31/12/2009	102751.12	16119.23
4/01/2010	103515.33	16239.12
5/01/2010	105058.65	16481.23
6/01/2010	105302.28	16519.45
7/01/2010	105945	16620.28
8/01/2010	106162.25	16654.36
11/01/2010	106793.26	16753.35
12/01/2010	105453.95	16543.24
13/01/2010	103748.84	16275.75
14/01/2010	103423.41	16224.7
15/01/2010	102341.71	16055.01
18/01/2010	102222.41	16036.29
19/01/2010	100665.93	15792.12
20/01/2010	100106.98	15704.43
21/01/2010	98121.64	15392.98
22/01/2010	96646.64	15161.58
25/01/2010	96108.25	15077.12
27/01/2010	94012.44	14748.34
28/01/2010	94418.25	14812
29/01/2010	92636.12	14532.43
1/02/2010	90273.99	14161.87
2/02/2010	93152.16	14613.38
3/02/2010	93723.57	14703.02
4/02/2010	93963.94	14740.73
5/02/2010	90467.89	14192.28
8/02/2010	90711.9	14230.56
9/02/2010	90233.17	14155.46
10/02/2010	90231.61	14155.22
11/02/2010	92491.18	14509.69
12/02/2010	92907.6	14575.02
15/02/2010	92955.99	14579.65
16/02/2010	92698.31	14539.24
17/02/2010	94790.92	14867.45
18/02/2010	94396.36	14805.57
19/02/2010	94211.02	14776.5
22/02/2010	96189.37	15086.79
23/02/2010	96092.69	15071.63
24/02/2010	94546.56	14782.57
25/02/2010	93157.48	14565.39
26/02/2010	93441.16	14609.74
1/03/2010	94575.27	14732.03
2/03/2010	95328.53	14799.98
3/03/2010	95472.8	14822.37
4/03/2010	95346.65	14802.79
5/03/2010	95773.03	14868.07
8/03/2010	99347.71	15423.01
9/03/2010	99753.38	15485.99
10/03/2010	99570.83	15457.65
11/03/2010	99329.24	15415.58
12/03/2010	99766.3	15483.41
15/03/2010	99567.22	15452.52
16/03/2010	99084.38	15377.58
17/03/2010	101404.35	15737.63
18/03/2010	101686.55	15781.43
19/03/2010	102414.05	15894.34
22/03/2010	101593.58	15767
23/03/2010	102522.41	15911.15
24/03/2010	102834.56	15959.6
25/03/2010	103219.16	16017.7
26/03/2010	102729.64	15938.67
29/03/2010	102426.81	15891.68
30/03/2010	102760.14	15943.4
31/03/2010	102539.38	15909.15
1/04/2010	103359.36	16036.37
6/04/2010	105182.22	16319.19
7/04/2010	105041.84	16297.41
8/04/2010	104150.05	16159.05
9/04/2010	105179.75	16318.81
12/04/2010	105727.67	16403.82
13/04/2010	103725.98	16093.25
14/04/2010	104260.74	16176.22
15/04/2010	104267.03	16177.2
16/04/2010	102724.17	15937.82
19/04/2010	101427.2	15736.59
20/04/2010	101982.96	15822.82
21/04/2010	103071.53	15991.72
22/04/2010	102312.46	15873.94
23/04/2010	101437.25	15738.15
27/04/2010	101268.31	15711.94
28/04/2010	99672.69	15464.38
29/04/2010	99008.52	15361.33
30/04/2010	100140.41	15536.95
3/05/2010	98691.1	15312.08
4/05/2010	97064.27	15059.68
5/05/2010	96021.06	14897.82
6/05/2010	95289.58	14784.33
7/05/2010	93966.17	14579
10/05/2010	95663.17	14842.3
11/05/2010	94365.32	14640.93
12/05/2010	95767.73	14858.52
13/05/2010	98113.21	15222.42
14/05/2010	97273.09	15092.08
17/05/2010	93777.96	14549.8
18/05/2010	93277.9	14472.22
19/05/2010	91582.05	14209.1
20/05/2010	89711.06	13918.82
21/05/2010	89556.25	13894.8
24/05/2010	91948.39	14265.94
25/05/2010	88395.32	13714.68
26/05/2010	90092.08	13977.93
27/05/2010	92096.27	14288.89
28/05/2010	93701.15	14537.88
31/05/2010	93279.94	14472.53
1/06/2010	93979.53	14581.08
2/06/2010	92616.32	14369.57
3/06/2010	94891.1	14722.51
4/06/2010	95039.57	14745.54
7/06/2010	92010.08	14275.51
8/06/2010	93457.93	14500.15
9/06/2010	92927.51	14417.85
10/06/2010	94795.24	14707.63
11/06/2010	96716.36	15005.7
15/06/2010	96218.49	14928.45
16/06/2010	97251.37	15088.71
17/06/2010	96646.88	14994.92
18/06/2010	96909.77	15035.71
21/06/2010	98150.53	15228.21
22/06/2010	96814.53	15020.93
23/06/2010	94734.25	14698.17
24/06/2010	94472.83	14657.61
25/06/2010	92930.01	14418.24
28/06/2010	92565.98	14361.76
29/06/2010	91431.49	14185.74
30/06/2010	90832.37	14092.79
1/07/2010	89417.15	13873.22
2/07/2010	88892.33	13791.79
5/07/2010	89720.46	13920.27
6/07/2010	90964.39	14113.27
7/07/2010	90071.5	13974.74
8/07/2010	91979.45	14270.76
9/07/2010	94594.76	14676.53
12/07/2010	95270.9	14781.43
13/07/2010	93993.65	14583.27
14/07/2010	95364.95	14796.03
15/07/2010	94811.1	14710.1
16/07/2010	94524.74	14665.67
19/07/2010	93157.45	14453.53
20/07/2010	93239.24	14466.22
21/07/2010	92839.02	14404.12
22/07/2010	92986.27	14426.97
23/07/2010	95017.46	14742.11
26/07/2010	95272.11	14781.62
27/07/2010	95332.45	14790.98
28/07/2010	95817.77	14866.28
29/07/2010	95084.78	14752.56
30/07/2010	94262.24	14621.89
2/08/2010	95224.59	14771.17
3/08/2010	95776.21	14856.73
4/08/2010	95756.52	14853.68
5/08/2010	96791.04	15014.15
6/08/2010	96426.92	14957.67
9/08/2010	96861.09	15024.04
10/08/2010	95686.98	14841.93
11/08/2010	94778.27	14700.98
12/08/2010	93534.92	14508.12
13/08/2010	95541.77	14819.41
16/08/2010	96214.96	14923.82
17/08/2010	96270.09	14932.37
18/08/2010	97071.33	15056.65
19/08/2010	97754.11	15162.56
20/08/2010	96470.97	14963.53
23/08/2010	96883.73	14969.8
24/08/2010	96042.32	14839.79
25/08/2010	93762.39	14487.51
26/08/2010	94973.19	14674.6
27/08/2010	95011.18	14680.47
30/08/2010	96607.88	14910.83
31/08/2010	95372.06	14675.67
1/09/2010	97198.31	14911.75
2/09/2010	97584	14970.92
3/09/2010	97667.87	14983.79
6/09/2010	97841.44	15008.23
7/09/2010	97944.97	15024.11
8/09/2010	96881.1	14860.92
9/09/2010	96468.73	14797.67
10/09/2010	95456.58	14642.41
13/09/2010	96779.27	14839.6
14/09/2010	97506.37	14951.09
15/09/2010	97906.43	15012.44
16/09/2010	97339.85	14925.56
17/09/2010	98846.71	15156.61
20/09/2010	98575.13	15114.97
21/09/2010	98355.78	15081.34
22/09/2010	98910.35	15166.37
23/09/2010	98787.42	15147.52
24/09/2010	98435.59	15093.58
27/09/2010	99827.35	15306.98
28/09/2010	99412.53	15243.37
29/09/2010	98819.01	15152.37
30/09/2010	97755.73	14989.33
1/10/2010	98359.04	15081.84
4/10/2010	99225.52	15214.7
5/10/2010	98345.67	15079.79
6/10/2010	99385.29	15239.2
7/10/2010	99648.69	15279.59
8/10/2010	99531.93	15261.68
11/10/2010	100444.97	15401.68
12/10/2010	98887.85	15162.92
13/10/2010	98877.77	15161.38
14/10/2010	100736.28	15446.35
15/10/2010	100887.51	15469.54
18/10/2010	100007.56	15334.61
19/10/2010	100458.43	15403.75
20/10/2010	99290.28	15224.63
21/10/2010	98707.06	15135.2
22/10/2010	99468.5	15251.96
25/10/2010	101143.78	15508.83
26/10/2010	100523.52	15413.73
27/10/2010	99515.65	15259.19
28/10/2010	100127.06	15352.94
29/10/2010	99216.62	15213.33
1/11/2010	99981.63	15330.64
2/11/2010	100069.53	15344.12
3/11/2010	100686.56	15438.73
4/11/2010	102269.63	15681.47
5/11/2010	104471.48	16019.09
8/11/2010	105534.25	16182.04
9/11/2010	102903.05	15778.59
10/11/2010	101778.52	15606.16
11/11/2010	102764.02	15757.27
12/11/2010	102474.71	15712.91
15/11/2010	102006.9	15641.18
16/11/2010	101718.74	15596.99
17/11/2010	98879.43	15161.63
18/11/2010	99513.31	15258.83
19/11/2010	99652.12	15280.11
22/11/2010	100337.3	15385.17
23/11/2010	98674.46	15130.2
24/11/2010	98475.64	15099.72
25/11/2010	98708.02	15135.35
26/11/2010	99485	15254.49
29/11/2010	100376.21	15391.14
30/11/2010	100517.97	15412.88
1/12/2010	99959.38	15327.23
2/12/2010	102122.67	15658.93
3/12/2010	102750.68	15755.23
6/12/2010	103765.85	15910.89
7/12/2010	104242.38	15983.96
8/12/2010	103646.36	15892.57
9/12/2010	104429.17	16012.6
10/12/2010	104887.22	16082.83
13/12/2010	104889.44	16083.17
14/12/2010	105367.91	16156.54
15/12/2010	105599.77	16192.09
16/12/2010	106338.9	16305.43
17/12/2010	105691.07	16206.09
20/12/2010	106047.39	16260.73
21/12/2010	105993.31	16252.44
22/12/2010	105683.26	16204.89
23/12/2010	105952.56	16246.19
24/12/2010	105646.01	16199.18
29/12/2010	105714.32	16209.66
30/12/2010	105820.04	16225.87
31/12/2010	105093.19	16114.41
4/01/2011	105614.2	16194.3
5/01/2011	104469.06	16018.71
6/01/2011	104946.51	16091.92
7/01/2011	105034.58	16105.43
10/01/2011	105393.28	16160.43
11/01/2011	105218.01	16133.55
12/01/2011	105847.11	16230.02
13/01/2011	106943.23	16398.09
14/01/2011	106998.95	16406.63
17/01/2011	106226.56	16288.2
18/01/2011	107344.7	16459.65
19/01/2011	108061.61	16569.58
20/01/2011	106870.39	16386.92
21/01/2011	105420.8	16164.65
24/01/2011	105550.56	16184.55
25/01/2011	105715.98	16209.91
27/01/2011	105786.36	16220.7
28/01/2011	104268.26	15987.93
31/01/2011	103802.32	15916.48
1/02/2011	104602.14	16039.12
2/02/2011	106159.34	16277.89
3/02/2011	105988.4	16251.68
4/02/2011	106316.91	16302.05
7/02/2011	106723.55	16364.41
8/02/2011	106795.56	16375.45
9/02/2011	106872.1	16387.18
10/02/2011	107058.48	16415.76
11/02/2011	106311.4	16301.21
14/02/2011	107199.79	16437.43
15/02/2011	107134.12	16427.36
16/02/2011	106679.78	16357.69
17/02/2011	107369.71	16463.48
18/02/2011	107746.38	16521.24
21/02/2011	107318.5	16455.63
22/02/2011	106526.35	16334.17
23/02/2011	106368.21	16285.87
24/02/2011	105533.52	16094.77
25/02/2011	106521.43	16245.43
28/02/2011	107790.93	16424.93
1/03/2011	107203.97	16292.89
2/03/2011	107126.83	16273.33
3/03/2011	107800.55	16375.67
4/03/2011	108090.98	16419.79
7/03/2011	107338.98	16303.98
8/03/2011	107895.32	16387.08
9/03/2011	107256.37	16285.91
10/03/2011	105406.54	16005.03
11/03/2011	104267.93	15832.14
14/03/2011	103730.71	15750.57
15/03/2011	101042.2	15342.34
16/03/2011	102637.96	15584.64
17/03/2011	103702.28	15746.25
18/03/2011	107095.04	16261.41
21/03/2011	108099.63	16413.95
22/03/2011	107219.59	16280.32
23/03/2011	108140.34	16420.13
24/03/2011	108965.7	16545.45
25/03/2011	111298.92	16899.73
28/03/2011	111406.51	16916.07
29/03/2011	111672.89	16956.52
30/03/2011	112590.35	17095.82
31/03/2011	111787.28	16973.88
1/04/2011	113140.12	17179.3
4/04/2011	113842.25	17285.91
5/04/2011	113212.93	17190.36
6/04/2011	113260.67	17197.61
7/04/2011	114120.6	17328.18
8/04/2011	115090.03	17475.38
11/04/2011	116809.58	17736.48
12/04/2011	113283.47	17201.07
13/04/2011	112593.62	17096.32
14/04/2011	112509.69	17083.58
15/04/2011	112116.43	17023.86
18/04/2011	111904.3	16991.65
19/04/2011	109671.43	16652.61
20/04/2011	111298.17	16899.62
21/04/2011	113079.56	17170.11
27/04/2011	112544.12	17088.8
28/04/2011	112062.94	17015.74
29/04/2011	109272.69	16592.07
2/05/2011	108610.32	16491.49
3/05/2011	107438.63	16313.58
4/05/2011	106455.44	16164.29
5/05/2011	107907.07	16384.71
6/05/2011	106410.35	16157.45
9/05/2011	107425.02	16311.51
10/05/2011	106856.72	16225.22
11/05/2011	108682.34	16502.43
12/05/2011	105754.95	16057.93
13/05/2011	105872.82	16075.83
16/05/2011	103783.27	15758.55
17/05/2011	104352.18	15844.93
18/05/2011	104607.38	15883.68
19/05/2011	106759.37	16210.44
20/05/2011	106660.01	16195.36
23/05/2011	104607.31	15883.67
24/05/2011	104659.64	15891.62
25/05/2011	103735.2	15751.25
26/05/2011	106314.66	16142.92
27/05/2011	107017.09	16249.58
30/05/2011	107129.74	16266.68
31/05/2011	108504.08	16475.36
1/06/2011	108751.52	16512.93
2/06/2011	106389.39	16154.26
3/06/2011	105574.69	16030.56
6/06/2011	104908.06	15929.34
7/06/2011	103876.62	15772.72
8/06/2011	101919.15	15475.5
9/06/2011	102222.48	15521.56
10/06/2011	102649.93	15586.46
14/06/2011	102521.04	15566.89
15/06/2011	101821.62	15460.69
16/06/2011	99493.52	15107.19
17/06/2011	98253.66	14918.93
20/06/2011	96190.78	14605.7
21/06/2011	97926.77	14869.29
22/06/2011	98509.57	14957.78
23/06/2011	97616.32	14822.15
24/06/2011	97203.46	14759.46
27/06/2011	95452.18	14493.55
28/06/2011	94710.84	14380.98
29/06/2011	97145.86	14750.72
30/06/2011	99346.64	15084.89
1/07/2011	98880.54	15014.11
4/07/2011	99251.02	15070.37
5/07/2011	98614.87	14973.77
6/07/2011	98458.31	14950
7/07/2011	98350.51	14933.63
8/07/2011	99696.34	15137.99
11/07/2011	97739.68	14840.88
12/07/2011	96344	14628.96
13/07/2011	97115.75	14746.15
14/07/2011	97348.29	14781.45
15/07/2011	96581.38	14665.01
18/07/2011	95455.07	14493.99
